pm10,pm2_5,co,no2,o3,so2,cluster
10.0,13.0,2.8,1.4,40.3,3.1,1
82.0,162.0,10.9,18.8,94.9,6.1,0
9.0,1.0,3.4,9.3,37.6,1.5,1
27.68382927417251,13.0,1.3677517165222908,0.8399042011107016,4.121664267908446,48.89766100519643,1
13.0,38.0,5.6,24.1,8.0,0.2,0
23.0,45.0,0.1,33.5,13.4,0.6,0
18.0,49.0,1.9,7.6,21.5,0.7,0
112.0,96.0,1.5,1.8,11.6,14.9,0
106.0,154.0,4.1,7.2,71.6,7.6,0
27.0,21.0,2.5,12.8,20.3,1.6,2
10.0,25.0,0.1,3.7,25.6,28.489090703903585,2
20.0,27.0,1.2,1.0,19.2,79.59941382784467,3
20.0,21.0,4.0,20.53762885419557,12.0,2.0,2
10.0,20.0,12.7,1.6,154.50556401084106,1.0,0
17.0,35.0,3.1,10.8,22.9,0.2,3
19.0,38.0,0.1,10.1,23.6,0.6,0
22.0,55.0,7916.952123824455,12.4,22.8,585.0293369000557,0
68.0,132.0,3.9,18.7,6.7,5.8,0
24.362543034464696,14.151363290148895,4.01308943433592,8.514070932715816,20.986549806623493,18.699385138383835,1
19.71697388762944,8.0,6.010323263491088,4.241111656099614,13.301510160919774,14.800596711030323,1
12.0,25.0,5.9,29.1,27.4,3.9,2
34.0,70.0,0.1,1.8,16.2,0.6,0
12.0,75.0,6.9,45.1,6.9,1.8,0
29.652264856664875,0.6661364927238683,4.876048857207326,9.217280993299328,24.974781092852194,32.175882103697184,1
583.2322372705307,80.0,721.3192396608415,574.2525734751956,269.2698141200294,915.8278200995952,0
4.0,11.0,5.6,11.2,28.9,7.8,1
16.0,38.0,2.4,5.8,33.4,5.2,0
28.0,65.0,10.0,34.3,6.4,1.5,0
3.7581843082396063,4.0,2.6247800384589772,6.40958621096944,27.737010359700314,16.63033949475467,1
39.0,72.0,2.8,33.0,2.0,1.1,0
53.382346394560074,34.0,0.04376999263874792,31.836120397593955,91.69787862383677,88.62588021626263,3
18.0,50.0,8.8,5.5,9.9,3.4,0
9.252879434912924,4.304760761187918,6.52913330235457,7.3124237006777415,7.662898195029051,3.6704629166531944,1
675.960329712342,57.0,5793.998873672806,768.7428898592987,280.7591909065809,572.0275381264946,0
5.0,99.0,1.9,7.8,13.0,954.450136993923,0
12.09895301038727,1.9982117985821506,4.877301891998368,2.1515127941475254,39.94646133312468,27.740649250944827,1
872.7853932125731,80.0,4202.426506516228,685.6867074022829,283.5443589619035,264.7696057349593,0
28.0,63.0,8818.089382055716,23.9,23.2,705.539008004112,0
22.0,33.0,1.846319979101497,7.4,21.6,102.17909122454438,3
768.3567914186615,42.0,6615.500375508522,30.2,256.7767312548919,308.13010037177855,0
38.0,78.0,5.5,12.8,41.5,3.6,0
150.1442892213945,82.0,6514.030467482991,270.8372613172244,138.6429538008657,330.4761966569681,0
40.0,78.0,5.7,25.4,22.3,0.9,0
12.575841993281765,5.648774932047639,4.228933551450553,16.352764630406654,17.666825509852618,38.41102309844979,1
10.0,13.0,2.8,1.4,40.3,3.1,1
82.0,162.0,10.9,18.8,94.9,6.1,0
9.0,1.0,3.4,9.3,37.6,1.5,1
15.161617604042064,13.0,0.4833317307176923,18.23831174934334,60.61554956716577,4.317125669148824,1
13.0,38.0,5.6,24.1,8.0,0.2,0
23.0,45.0,0.1,33.5,13.4,0.6,0
18.0,49.0,1.9,7.6,21.5,0.7,0
112.0,96.0,1.5,1.8,11.6,14.9,0
106.0,154.0,4.1,7.2,71.6,7.6,0
27.0,21.0,2.5,12.8,20.3,1.6,2
10.0,25.0,0.1,3.7,25.6,49.876463405215496,2
20.0,27.0,1.2,1.0,19.2,54.208157565366456,3
20.0,21.0,4.0,27.84169308994886,12.0,2.0,2
10.0,20.0,12.7,1.6,168.0333573999803,1.0,0
17.0,35.0,3.1,10.8,22.9,0.2,3
19.0,38.0,0.1,10.1,23.6,0.6,0
22.0,55.0,6494.677006915877,12.4,22.8,800.7121381787173,0
68.0,132.0,3.9,18.7,6.7,5.8,0
9.07224689558899,11.730568410825505,1.5816887039296716,12.381327453844184,15.460004153188194,18.200094813658254,1
