pm10,pm2_5,co,no2,o3,so2
10.0,13.0,2.8,1.4,40.3,3.1
82.0,162.0,10.9,18.8,94.9,6.1
9.0,1.0,3.4,9.3,37.6,1.5
8.4,13.0,2.2,5.159999999999999,25.04,1.1400000000000001
13.0,38.0,5.6,24.1,8.0,0.2
23.0,45.0,0.1,33.5,13.4,0.6
18.0,49.0,1.9,7.6,21.5,0.7
112.0,96.0,1.5,1.8,11.6,14.9
106.0,154.0,4.1,7.2,71.6,7.6
27.0,21.0,2.5,12.8,20.3,1.6
10.0,25.0,0.1,3.7,25.6,3.38
20.0,27.0,1.2,1.0,19.2,1.06
20.0,21.0,4.0,11.580000000000002,12.0,2.0
10.0,20.0,12.7,1.6,20.98,1.0
17.0,35.0,3.1,10.8,22.9,0.2
19.0,38.0,0.1,10.1,23.6,0.6
22.0,55.0,2.2600000000000002,12.4,22.8,0.78
68.0,132.0,3.9,18.7,6.7,5.8
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
11.8,8.0,37.0,4.999999999999999,22.32,0.18000000000000002
12.0,25.0,5.9,29.1,27.4,3.9
34.0,70.0,0.1,1.8,16.2,0.6
12.0,75.0,6.9,45.1,6.9,1.8
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
37.8,80.0,5.14,9.1,41.17999999999999,4.4
4.0,11.0,5.6,11.2,28.9,7.8
16.0,38.0,2.4,5.8,33.4,5.2
28.0,65.0,10.0,34.3,6.4,1.5
3.0,4.0,0.76,4.16,15.440000000000001,0.8800000000000001
39.0,72.0,2.8,33.0,2.0,1.1
13.2,34.0,2.1799999999999997,4.3,27.7,2.1399999999999997
18.0,50.0,8.8,5.5,9.9,3.4
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
20.4,57.0,2.78,4.380000000000001,35.2,2.44
5.0,99.0,1.9,7.8,13.0,5.52
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
37.8,80.0,5.14,9.1,41.17999999999999,4.4
28.0,63.0,1.6999999999999997,23.9,23.2,1.06
22.0,33.0,0.1,7.4,21.6,1.06
19.8,42.0,2.18,30.2,21.12,1.6999999999999997
38.0,78.0,5.5,12.8,41.5,3.6
39.2,82.0,4.6,9.1,41.18,4.4
40.0,78.0,5.7,25.4,22.3,0.9
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
10.0,13.0,2.8,1.4,40.3,3.1
82.0,162.0,10.9,18.8,94.9,6.1
9.0,1.0,3.4,9.3,37.6,1.5
8.4,13.0,2.2,5.159999999999999,25.04,1.1400000000000001
13.0,38.0,5.6,24.1,8.0,0.2
23.0,45.0,0.1,33.5,13.4,0.6
18.0,49.0,1.9,7.6,21.5,0.7
112.0,96.0,1.5,1.8,11.6,14.9
106.0,154.0,4.1,7.2,71.6,7.6
27.0,21.0,2.5,12.8,20.3,1.6
10.0,25.0,0.1,3.7,25.6,3.38
20.0,27.0,1.2,1.0,19.2,1.06
20.0,21.0,4.0,11.580000000000002,12.0,2.0
10.0,20.0,12.7,1.6,20.98,1.0
17.0,35.0,3.1,10.8,22.9,0.2
19.0,38.0,0.1,10.1,23.6,0.6
22.0,55.0,2.2600000000000002,12.4,22.8,0.78
68.0,132.0,3.9,18.7,6.7,5.8
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
11.8,8.0,37.0,4.999999999999999,22.32,0.18000000000000002
12.0,25.0,5.9,29.1,27.4,3.9
34.0,70.0,0.1,1.8,16.2,0.6
12.0,75.0,6.9,45.1,6.9,1.8
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
37.8,80.0,5.14,9.1,41.17999999999999,4.4
4.0,11.0,5.6,11.2,28.9,7.8
