pm10,pm2_5,co,no2,o3,so2
10.0,13.0,2.8,1.4,40.3,3.1
82.0,162.0,10.9,18.8,94.9,6.1
9.0,1.0,3.4,9.3,37.6,1.5
11.0,13.0,4.5,16.700000000000003,22.8,0.85
13.0,38.0,5.6,24.1,8.0,0.2
23.0,45.0,0.1,33.5,13.4,0.6
18.0,49.0,1.9,7.6,21.5,0.7
112.0,96.0,1.5,1.8,11.6,14.9
106.0,154.0,4.1,7.2,71.6,7.6
27.0,21.0,2.5,12.8,20.3,1.6
10.0,25.0,0.1,3.7,25.6,1.7333333333333334
20.0,27.0,1.2,1.0,19.2,1.8666666666666667
20.0,21.0,4.0,1.3,12.0,2.0
10.0,20.0,12.7,1.6,17.45,1.0
17.0,35.0,3.1,10.8,22.9,0.2
19.0,38.0,0.1,10.1,23.6,0.6
22.0,55.0,2.0,12.4,22.8,3.2
68.0,132.0,3.9,18.7,6.7,5.8
49.33333333333333,70.0,4.566666666666666,22.166666666666668,13.6,5.166666666666666
30.666666666666664,8.0,5.233333333333333,25.633333333333333,20.5,4.533333333333333
12.0,25.0,5.9,29.1,27.4,3.9
34.0,70.0,0.1,1.8,16.2,0.6
12.0,75.0,6.9,45.1,6.9,1.8
9.333333333333334,77.5,6.466666666666667,33.8,14.233333333333334,3.8
6.666666666666667,80.0,6.033333333333333,22.499999999999996,21.566666666666666,5.8
4.0,11.0,5.6,11.2,28.9,7.8
16.0,38.0,2.4,5.8,33.4,5.2
28.0,65.0,10.0,34.3,6.4,1.5
33.5,4.0,6.4,33.65,4.2,1.3
39.0,72.0,2.8,33.0,2.0,1.1
28.5,34.0,5.800000000000001,19.25,5.95,2.25
18.0,50.0,8.8,5.5,9.9,3.4
13.666666666666668,53.5,6.5,6.266666666666667,10.933333333333334,3.422222222222222
9.333333333333334,57.0,4.2,7.033333333333333,11.966666666666667,3.444444444444444
5.0,99.0,1.9,7.8,13.0,3.466666666666667
12.666666666666668,89.5,2.5,13.166666666666666,16.4,3.488888888888889
20.333333333333336,80.0,3.0999999999999996,18.53333333333333,19.8,3.511111111111111
28.0,63.0,3.6999999999999997,23.9,23.2,3.533333333333333
22.0,33.0,4.3,7.4,21.6,3.5555555555555554
30.0,42.0,4.9,30.2,31.55,3.577777777777778
38.0,78.0,5.5,12.8,41.5,3.6
39.0,82.0,5.6,19.1,31.9,2.25
40.0,78.0,5.7,25.4,22.3,0.9
25.0,45.5,4.25,13.399999999999999,31.299999999999997,2.0
10.0,13.0,2.8,1.4,40.3,3.1
82.0,162.0,10.9,18.8,94.9,6.1
9.0,1.0,3.4,9.3,37.6,1.5
11.0,13.0,4.5,16.700000000000003,22.8,0.85
13.0,38.0,5.6,24.1,8.0,0.2
23.0,45.0,0.1,33.5,13.4,0.6
18.0,49.0,1.9,7.6,21.5,0.7
112.0,96.0,1.5,1.8,11.6,14.9
106.0,154.0,4.1,7.2,71.6,7.6
27.0,21.0,2.5,12.8,20.3,1.6
10.0,25.0,0.1,3.7,25.6,1.7333333333333334
20.0,27.0,1.2,1.0,19.2,1.8666666666666667
20.0,21.0,4.0,1.3,12.0,2.0
10.0,20.0,12.7,1.6,17.45,1.0
17.0,35.0,3.1,10.8,22.9,0.2
19.0,38.0,0.1,10.1,23.6,0.6
22.0,55.0,2.0,12.4,22.8,3.2
68.0,132.0,3.9,18.7,6.7,5.8
49.33333333333333,70.0,4.566666666666666,22.166666666666668,13.6,5.166666666666666
30.666666666666664,8.0,5.233333333333333,25.633333333333333,20.5,4.533333333333333
12.0,25.0,5.9,29.1,27.4,3.9
34.0,70.0,0.1,1.8,16.2,0.6
12.0,75.0,6.9,45.1,6.9,1.8
9.333333333333334,77.5,6.466666666666667,33.8,14.233333333333334,3.8
6.666666666666667,80.0,6.033333333333333,22.499999999999996,21.566666666666666,5.8
4.0,11.0,5.6,11.2,28.9,7.8
