pm10,pm2_5,co,no2,o3,so2,cluster
10.0,13.0,2.8,1.4,40.3,3.1,1
82.0,162.0,10.9,18.8,94.9,6.1,3
9.0,1.0,3.4,9.3,37.6,1.5,1
45.5,13.0,7.15,14.05,66.25,3.8,2
13.0,38.0,5.6,24.1,8.0,0.2,4
23.0,45.0,0.1,33.5,13.4,0.6,4
18.0,49.0,1.9,7.6,21.5,0.7,4
112.0,96.0,1.5,1.8,11.6,14.9,3
106.0,154.0,4.1,7.2,71.6,7.6,3
27.0,21.0,2.5,12.8,20.3,1.6,4
10.0,25.0,0.1,3.7,25.6,4.6,1
20.0,27.0,1.2,1.0,19.2,1.6,4
20.0,21.0,4.0,2.350000000000003,12.0,2.0,2
10.0,20.0,12.7,1.6,15.6,1.0,2
17.0,35.0,3.1,10.8,22.9,0.2,4
19.0,38.0,0.1,10.1,23.6,0.6,4
22.0,55.0,1.6000000000000014,12.4,22.8,0.4,4
68.0,132.0,3.9,18.7,6.7,5.8,3
45.0,93.5,3.9,15.550000000000004,14.75,5.8,2
68.0,8.0,3.9,18.7,6.7,5.8,2
12.0,25.0,5.9,29.1,27.4,3.9,1
34.0,70.0,0.1,1.8,16.2,0.6,0
12.0,75.0,6.9,45.1,6.9,1.8,0
23.0,72.5,3.5000000000000018,23.450000000000006,11.55,1.1999999999999995,2
12.0,80.0,6.9,45.1,6.9,1.8,0
4.0,11.0,5.6,11.2,28.9,7.8,1
16.0,38.0,2.4,5.8,33.4,5.2,4
28.0,65.0,10.0,34.3,6.4,1.5,0
22.0,4.0,6.200000000000002,20.050000000000004,19.900000000000002,3.35,2
39.0,72.0,2.8,33.0,2.0,1.1,0
39.0,34.0,2.8,33.0,2.0,1.1,2
18.0,50.0,8.8,5.5,9.9,3.4,4
18.0,42.0,8.8,5.5,9.9,3.4,2
18.0,57.0,8.8,5.5,9.9,3.4,0
5.0,99.0,1.9,7.8,13.0,,0
5.0,78.0,1.9,7.8,13.0,,2
5.0,80.0,1.9,7.8,13.0,,0
28.0,63.0,,23.9,23.2,,0
22.0,33.0,,7.4,21.6,,4
25.0,42.0,,30.2,22.4,,4
38.0,78.0,5.5,12.8,41.5,3.6,0
38.0,82.0,5.5,21.500000000000004,41.5,3.6,0
40.0,78.0,5.7,25.4,22.3,0.9,0
40.0,80.0,5.7,25.4,22.3,0.9,2
10.0,13.0,2.8,1.4,40.3,3.1,1
82.0,162.0,10.9,18.8,94.9,6.1,3
9.0,1.0,3.4,9.3,37.6,1.5,1
45.5,13.0,7.150000000000002,14.050000000000004,66.25,3.8,2
13.0,38.0,5.6,24.1,8.0,0.2,4
23.0,45.0,0.1,33.5,13.4,0.6,4
18.0,49.0,1.9,7.6,21.5,0.7,4
112.0,96.0,1.5,1.8,11.6,14.9,3
106.0,154.0,4.1,7.2,71.6,7.6,3
27.0,21.0,2.5,12.8,20.3,1.6,4
10.0,25.0,0.1,3.7,25.6,4.6,1
20.0,27.0,1.2,1.0,19.2,1.6,4
20.0,21.0,4.0,2.350000000000003,12.0,2.0,2
10.0,20.0,12.7,1.6,15.6,1.0,2
17.0,35.0,3.1,10.8,22.9,0.2,4
19.0,38.0,0.1,10.1,23.6,0.6,4
22.0,55.0,1.6000000000000032,12.4,22.8,0.4,4
68.0,132.0,3.9,18.7,6.7,5.8,3
45.0,93.5,3.9,15.550000000000004,14.75,5.8,2
68.0,8.0,3.9,18.7,6.7,5.8,2
12.0,25.0,5.9,29.1,27.4,3.9,1
34.0,70.0,0.1,1.8,16.2,0.6,0
12.0,75.0,6.9,45.1,6.9,1.8,0
23.0,72.5,3.5000000000000036,23.450000000000006,11.55,1.1999999999999995,2
12.0,80.0,6.9,45.1,6.9,1.8,0
4.0,11.0,5.6,11.2,28.9,7.8,1
16.0,38.0,2.4,5.8,33.4,5.2,4
28.0,65.0,10.0,34.3,6.4,1.5,0
22.0,4.0,6.200000000000004,20.050000000000004,19.900000000000002,3.35,2
39.0,72.0,2.8,33.0,2.0,1.1,0
39.0,34.0,2.8,33.0,2.0,1.1,2
18.0,50.0,8.8,5.5,9.9,3.4,4
18.0,42.0,8.8,5.5,9.9,3.4,2
18.0,57.0,8.8,5.5,9.9,3.4,0
5.0,99.0,1.9,7.8,13.0,,0
5.0,78.0,1.9,7.8,13.0,,2
5.0,80.0,1.9,7.8,13.0,,0
28.0,63.0,,23.9,23.2,,0
22.0,33.0,,7.4,21.6,,4
25.0,42.0,,30.2,22.4,,4
38.0,78.0,5.5,12.8,41.5,3.6,0
38.0,82.0,5.5,21.500000000000004,41.5,3.6,0
40.0,78.0,5.7,25.4,22.3,0.9,0
40.0,80.0,5.7,25.4,22.3,0.9,2
2.0,5.0,5.7,25.4,22.3,0.9,2
2.0,95.0,,,,,0
2.0,90.0,,,,,0
20.0,42.0,,9.2,,,4
20.0,21.0,4.0,9.2,12.0,2.0,2
10.0,1.0,3.4,7.5,36.8,4.3,1
15.0,63.0,3.7000000000000037,7.5,24.399999999999995,3.1499999999999995,0
36.0,55.0,0.1,3.7,44.7,4.1,4
59.0,129.0,6.4,11.0,39.4,4.6,3
55.0,30.0,2.8,2.3,41.9,1.6,4
33.0,68.0,3.7,8.3,40.65,2.1,0
63.0,72.0,2.8,5.1,47.6,4.1,0
66.0,147.0,6.4,6.9,72.1,3.1,3
45.0,82.0,2.8,6.0,55.8,3.6,0
62.0,99.0,2.8,5.5,63.95,5.1,3
87.0,91.0,3.7,8.3,47.6,3.1,3
30.0,25.0,3.7,6.0,27.0,2.1,4
30.0,25.0,3.7,6.0,27.0,2.1,4
15.0,25.0,1.9,4.6,27.0,4.1,2
82.0,162.0,10.9,18.8,94.9,6.1,3
58.0,65.0,2.8,3.7,94.9,3.1,0
30.0,80.0,4.6,7.4,25.6,4.6,0
30.0,89.0,4.6,8.7,25.6,3.1,0
25.0,65.0,2.8,1.9,35.8,2.1,4
63.0,80.0,4.6,7.4,35.8,5.1,0
50.0,95.0,5.5,11.9,35.8,9.7,0
42.0,53.0,0.1,2.3,50.0,4.1,4
20.0,13.0,1.9,2.3,41.1,1.1,1
50.0,114.0,8.2,7.4,35.0,6.1,3
53.0,114.0,7.3,20.2,38.05,2.1,3
20.0,61.0,4.6,6.9,35.0,2.1,0
25.0,50.0,0.1,4.2,45.9,3.6,4
38.0,78.0,5.5,12.8,41.5,3.6,0
20.0,61.0,6.4,6.4,30.9,2.6,4
17.0,55.0,4.6,13.3,30.9,3.1,4
63.0,124.0,6.4,4.6,30.9,4.6,3
52.0,59.0,4.6,4.2,30.9,3.1,0
30.0,50.0,2.8,4.6,,3.6,0
66.0,30.0,1.9,2.3,,2.1,4
76.0,122.0,10.0,7.8,32.5,5.6,3
61.0,50.0,3.7,3.7,32.5,4.1,0
106.0,171.0,0.1,25.6,1.7,6.1,3
54.0,50.0,4.6,4.6,1.7,4.1,0
30.0,55.0,3.7,8.3,19.5,4.1,4
55.0,30.0,2.8,2.3,41.9,1.6,4
18.0,30.0,0.1,4.6,43.5,3.6,1
75.0,157.0,8.2,6.9,42.7,8.2,3
61.0,109.0,6.4,16.0,17.9,3.1,3
26.0,30.0,3.7,6.0,41.5,1.1,4
34.0,65.0,3.7,8.3,9.8,3.6,0
29.0,63.0,2.8,5.5,25.650000000000002,3.1,0
63.0,151.0,10.0,18.3,10.2,4.6,3
38.0,76.0,6.4,3.7,10.2,3.1,0
57.0,76.0,1.9,4.2,24.8,2.6,0
47.5,63.0,4.150000000000006,3.9500000000000046,24.8,2.8500000000000005,0
73.0,159.0,8.2,10.6,8.2,6.1,3
49.0,57.0,3.7,6.4,8.2,5.6,0
40.0,89.0,6.4,6.9,2.0,5.1,0
26.0,78.0,5.5,7.4,2.0,4.6,0
50.0,68.0,5.5,5.5,3.7,6.6,0
25.0,61.0,0.1,1.4,42.3,2.6,4
80.0,89.0,4.6,5.1,23.0,4.6,3
61.0,87.0,4.6,7.4,49.6,3.1,3
61.0,139.0,5.5,9.6,34.2,4.6,3
61.0,113.0,0.7,0.6,41.900000000000006,2.2,2
61.0,80.0,3.100000000000005,5.100000000000005,34.2,3.4000000000000012,0
,57.0,0.7,0.6,,2.2,0
,156.0,,,,,3
,61.0,,,,,0
53.0,59.0,14.0,31.0,,32.0,0
7.0,60.0,14.0,3.7,,11.7,2
30.0,95.0,14.0,17.350000000000005,,21.85,0
61.0,62.0,16.1,19.9,6.3,3.0,0
21.0,78.5,16.1,19.9,8.0,1.0,2
33.0,62.0,3.0,12.0,7.0,2.0000000000000018,2
63.0,53.0,0.1,8.3,7.5,2.6,0
48.0,70.0,1.5500000000000054,10.150000000000006,7.0,2.6,0
68.0,78.0,0.1,2.8,37.8,4.6,0
68.0,4.0,,2.8,37.8,4.6,2
68.0,74.0,,2.8,37.8,4.6,0
23.0,64.0,6.5,6.0,9.3,2.6,0
28.0,68.0,2.2,16.2,1.6,2.6,0
29.0,56.0,4.350000000000005,19.6,33.1,8.8,4
29.0,56.0,2.2,19.6,33.1,8.8,4
13.0,31.0,3.4,19.6,33.1,6.3,2
21.0,73.0,3.4,19.6,33.1,7.5500000000000025,0
